date,team_code,opponent_code,elo_before,opp_elo_before
2018-01-02,AE,IQ,1564,1571
2018-01-02,IQ,AE,1571,1564
2018-01-02,BH,OM,1405,1531
2018-01-02,OM,BH,1531,1405
2018-01-05,OM,AE,1533,1562
2018-01-05,AE,OM,1562,1533
2018-01-07,EE,SE,1513,1816
2018-01-07,SE,EE,1816,1513
2018-01-11,FI,JO,1601,1474
2018-01-11,JO,FI,1474,1601
2018-01-14,ID,IS,1235,1812
2018-01-14,IS,ID,1812,1235
2018-01-27,KR,MD,1762,1328
2018-01-27,MD,KR,1328,1762
2018-01-28,BA,US,1727,1747
2018-01-28,US,BA,1747,1727
2018-01-30,KR,JM,1757,1569
2018-01-30,JM,KR,1569,1757
2018-01-30,AZ,MD,1398,1330
2018-01-30,MD,AZ,1330,1398
2018-01-31,MX,BA,1854,1720
2018-01-31,BA,MX,1720,1854
2018-02-03,KR,LV,1759,1360
2018-02-03,LV,KR,1360,1759
2018-02-26,SA,MD,1574,1326
2018-02-26,MD,SA,1326,1574
2018-02-28,IQ,SA,1584,1561
2018-02-28,SA,IQ,1561,1584
2018-03-17,IR,SL,1802,1374
2018-03-17,SL,IR,1374,1802
2018-03-20,NC,TI,1209,1212
2018-03-20,TI,NC,1212,1209
2018-03-21,ZA,AO,1531,1250
2018-03-21,AO,ZA,1250,1531
2018-03-21,LA,KH,773,825
2018-03-21,KH,LA,825,773
2018-03-21,LI,AD,1153,1026
2018-03-21,AD,LI,1026,1153
2018-03-21,BM,AG,1189,1209
2018-03-21,AG,BM,1209,1189
2018-03-21,KW,JO,1419,1480
2018-03-21,JO,KW,1480,1419
2018-03-21,TG,MG,1379,1365
2018-03-21,MG,TG,1365,1379
2018-03-21,ZW,ZM,1468,1492
2018-03-21,ZM,ZW,1492,1468
2018-03-21,QA,IQ,1479,1560
2018-03-21,IQ,QA,1560,1479
2018-03-22,MT,LU,1204,1331
2018-03-22,FO,LV,1282,1358
2018-03-22,LU,MT,1331,1204
2018-03-22,BF,GW,1607,1285
2018-03-22,GW,BF,1285,1607
2018-03-22,PS,BH,1414,1402
2018-03-22,BH,PS,1402,1414
2018-03-22,CN,WA,1541,1786
2018-03-22,WA,CN,1786,1541
2018-03-22,NI,CU,1278,1295
