Group,Team,Elo,Round of 32,Round of 16,Quarter-Final,Semi-Final,Final,Champion
A,Mexico,1890.0,87.5%,57.5%,36.2%,13.2%,5.5%,1.9%
A,South Korea,1755.0,71.6%,38.0%,16.6%,4.3%,1.2%,0.4%
A,Czechia,1740.0,69.4%,36.5%,16.7%,4.9%,1.2%,0.3%
A,South Africa,1600.0,44.8%,15.8%,4.9%,1.1%,0.1%,0.0%
B,Switzerland,1850.0,96.6%,53.8%,33.6%,11.8%,4.2%,1.4%
B,Canada,1750.0,77.0%,36.6%,15.0%,4.6%,1.4%,0.4%
B,Bosnia and Herzegovina,1591.0,53.2%,14.4%,3.6%,0.7%,0.1%,0.0%
B,Qatar,1500.0,36.1%,7.9%,1.7%,0.3%,0.0%,0.0%
C,Brazil,2100.0,99.1%,79.2%,64.3%,52.0%,31.6%,18.4%
C,Morocco,1820.0,85.7%,44.8%,14.8%,8.0%,2.3%,0.7%
C,Scotland,1705.0,75.8%,32.2%,10.5%,4.1%,0.8%,0.2%
C,Haiti,1400.0,7.3%,1.4%,0.2%,0.0%,0.0%,0.0%
D,Turkey,1906.0,68.9%,35.5%,17.9%,11.1%,4.3%,1.7%
D,United States,1880.0,85.7%,41.4%,17.1%,10.4%,3.9%,1.4%
D,Australia,1720.0,63.2%,23.7%,8.7%,4.0%,1.1%,0.3%
D,Paraguay,1680.0,56.1%,17.7%,5.5%,2.3%,0.5%,0.1%
E,Germany,2040.0,98.4%,67.0%,44.0%,25.5%,15.2%,7.2%
E,Ecuador,1780.0,85.4%,40.7%,14.1%,4.8%,1.6%,0.5%
E,Ivory Coast,1676.0,54.1%,20.2%,6.1%,1.7%,0.4%,0.1%
E,Curaçao,1550.0,16.7%,3.9%,0.9%,0.2%,0.0%,0.0%
F,Netherlands,1970.0,87.6%,59.1%,39.1%,20.9%,12.2%,6.0%
F,Japan,1860.0,74.5%,33.5%,14.1%,5.5%,2.0%,0.6%
F,Sweden,1712.0,64.8%,23.8%,7.7%,2.5%,0.7%,0.2%
F,Tunisia,1670.0,44.4%,17.4%,6.3%,2.2%,0.5%,0.1%
G,Belgium,1885.0,94.9%,47.8%,23.3%,11.6%,5.1%,2.0%
G,Egypt,1700.0,69.7%,20.0%,6.3%,2.0%,0.5%,0.1%
G,Iran,1650.0,58.7%,17.9%,5.6%,1.7%,0.3%,0.1%
G,New Zealand,1580.0,40.5%,9.9%,2.6%,0.6%,0.1%,0.0%
H,Spain,2000.0,97.0%,73.1%,50.9%,31.9%,18.7%,8.2%
H,Uruguay,1870.0,88.9%,59.0%,28.5%,13.8%,5.9%,2.0%
H,Saudi Arabia,1700.0,59.1%,28.5%,10.7%,4.1%,1.1%,0.2%
H,Cape Verde,1520.0,12.5%,3.3%,0.6%,0.2%,0.0%,0.0%
I,France,2045.0,91.5%,59.7%,34.6%,20.5%,13.5%,8.7%
I,Senegal,1830.0,64.1%,30.1%,13.5%,6.2%,2.4%,0.9%
I,Norway,1715.0,56.4%,20.4%,6.8%,2.3%,0.5%,0.1%
I,Iraq,1618.0,59.2%,16.3%,4.0%,0.8%,0.1%,0.0%
J,Argentina,2060.0,98.7%,71.6%,52.8%,30.8%,21.3%,14.9%
J,Austria,1800.0,89.2%,43.5%,14.6%,5.2%,1.8%,0.7%
J,Algeria,1655.0,53.9%,19.0%,5.7%,1.7%,0.4%,0.1%
J,Jordan,1480.0,22.6%,4.3%,0.7%,0.1%,0.0%,0.0%
K,Portugal,1975.0,93.4%,62.9%,41.2%,24.9%,15.0%,8.6%
K,Colombia,1790.0,88.4%,41.2%,17.0%,5.8%,2.1%,0.7%
K,DR Congo,1661.0,68.5%,24.9%,7.5%,2.5%,0.4%,0.1%
K,Uzbekistan,1505.0,16.8%,3.6%,0.7%,0.1%,0.0%,0.0%
L,England,2005.0,91.9%,61.1%,41.0%,24.8%,15.3%,9.0%
L,Croatia,1855.0,78.3%,41.7%,19.9%,8.8%,3.6%,1.4%
L,Panama,1734.0,69.2%,28.8%,9.7%,3.2%,0.8%,0.2%
L,Ghana,1600.0,32.5%,9.5%,2.5%,0.5%,0.1%,0.0%
