group,home_team,away_team,date,tournament,home_elo,away_elo,elo_diff,home_injury_flag,away_injury_flag,p_home_win,p_draw,p_away_win
A,Mexico,South Africa,,FIFA World Cup 2026 - Group,1875,1600.0,275.0,0,0,0.7089310257823862,0.15753124609500763,0.13353772812260623
A,Mexico,South Korea,,FIFA World Cup 2026 - Group,1875,1758.0,117.0,0,0,0.5470440561672905,0.20146502729720786,0.2514909165355017
A,Mexico,Czechia ,,FIFA World Cup 2026 - Group,1875,1740.0,135.0,0,0,0.5818001155238169,0.1922886222198832,0.22591126225630004
A,South Africa,South Korea,,FIFA World Cup 2026 - Group,1600,1758.0,-158.0,0,0,0.2343436977750097,0.19371260495983453,0.5719436972651557
A,South Africa,Czechia ,,FIFA World Cup 2026 - Group,1600,1740.0,-140.0,0,0,0.2528028106234532,0.21776663843948918,0.5294305509370576
A,South Korea,Czechia ,,FIFA World Cup 2026 - Group,1758,1740.0,18.0,0,0,0.41162491105826593,0.24183311678775535,0.34654197215397864
B,Canada,Switzerland,,FIFA World Cup 2026 - Group,1788,1894.0,-106.0,0,0,0.28181294207374546,0.21704490555402134,0.5011421523722333
B,Canada,Qatar,,FIFA World Cup 2026 - Group,1788,1500.0,288.0,0,0,0.6742656493519581,0.1658407674976304,0.15989358315041147
B,Canada,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1788,1591.0,197.0,0,0,0.5723438156209589,0.19521593254106157,0.23244025183797948
B,Switzerland,Qatar,,FIFA World Cup 2026 - Group,1894,1500.0,394.0,0,0,0.7519253165476768,0.14780383095207122,0.10027085250025196
B,Switzerland,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1894,1591.0,303.0,0,0,0.6791375164821617,0.16407249258309473,0.15678999093474372
B,Qatar,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1500,1591.0,-91.0,0,0,0.27547120505629613,0.2395108316636111,0.4850179632800927
C,Brazil,Morocco,,FIFA World Cup 2026 - Group,1988,1820.0,168.0,0,0,0.7007303914649937,0.15945551423065704,0.13981409430434924
C,Brazil,Scotland,,FIFA World Cup 2026 - Group,1988,1770.0,218.0,0,0,0.7777519212984435,0.14220180995887283,0.08004626874268364
C,Brazil,Haiti,,FIFA World Cup 2026 - Group,1988,1548.0,440.0,0,0,0.8598773959683451,0.12483158134757096,0.015291022684083918
C,Morocco,Scotland,,FIFA World Cup 2026 - Group,1820,1770.0,50.0,0,0,0.5211476907999991,0.2100327790091129,0.268819530190888
C,Morocco,Haiti,,FIFA World Cup 2026 - Group,1820,1548.0,272.0,0,0,0.7899982989712995,0.1395930285204771,0.07040867250822333
C,Scotland,Haiti,,FIFA World Cup 2026 - Group,1770,1548.0,222.0,0,0,0.7206626635714822,0.15481936909843724,0.12451796733008058
D,United States,Paraguay,,FIFA World Cup 2026 - Group,1733,1833.0,-100.0,0,0,0.6238580514810874,0.17886071058743078,0.19728123793148175
